nh=247575781 anf=bcd+abe+bde+abf+abg+deg+afg
nh=247594814 anf=bcd+abe+ace+ade+bde+bcde+abcf+bdf+cdef+acg+beg+cdeg+acfg+cdfg+aefg
nh=247596358 anf=bcd+ade+bcde+abcf+bdf+cdef+acg+beg+cdeg+acfg+cdfg+aefg
nh=247579228 anf=bcd+abe+bce+ade+bde+bcde+abcf+adf+cdef+acg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abe+ace+bde+bcde+abcf+adf+cdef+acg+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+bcd+ade+bcde+abf+abcf+cdef+acg+beg+cdeg+acfg+cdfg+aefg
nh=247580088 anf=acd+ade+bde+bcde+abcf+cdef+acg+beg+cdeg+acfg+cdfg+aefg
nh=247574288 anf=abe+bce+ade+bcde+bcf+abcf+cdf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+bcd+abe+bde+bcde+abf+abcf+adf+bdf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=247587782 anf=abc+acd+bcd+ace+bce+bcde+abcf+adf+bdf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+bcd+bce+ade+bcde+abf+abcf+bdf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+bcd+bce+ade+bde+bcde+abcf+bdf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=247590666 anf=abc+acd+bcd+abe+bde+bcde+abcf+bdf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=247597893 anf=abc+bcd+ace+ade+bcde+abcf+bdf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=247601857 anf=abc+ade+bde+bcde+bcf+abcf+adf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+bcd+abe+bde+bcde+abf+abcf+adf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=247590741 anf=abc+ade+bde+bcde+abcf+adf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abe+ace+bde+bcde+abcf+adf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=247589579 anf=abc+bcd+ade+bcde+abcf+adf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=acd+ade+bde+bcde+abf+bcf+abcf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=247593433 anf=abc+bcd+ace+ade+bde+bcde+abf+abcf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=247582125 anf=abc+acd+bcd+abe+ade+bcde+abf+abcf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+bcd+abe+bce+ade+cde+bcde+abcf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=acd+bcd+ace+ade+bde+bcde+abcf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=247571891 anf=abc+acd+abe+bce+ade+bcde+abcf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=247580891 anf=abc+abe+ade+bcde+abcf+cdef+beg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+bcde+abcf+adf+bef+cdef+acg+cdg+cdeg+acfg+cdfg+aefg
nh=247577482 anf=abc+bcd+ade+bde+bcde+abf+abcf+bef+cdef+acg+cdg+cdeg+acfg+cdfg+aefg
nh=247584763 anf=abc+acd+bcd+bce+ade+bcde+abcf+bef+cdef+acg+cdg+cdeg+acfg+cdfg+aefg
nh=247586924 anf=bcd+abe+bce+ade+bde+bcde+abcf+bdf+cdef+acg+cdg+cdeg+acfg+cdfg+aefg
nh=247584589 anf=bcd+abe+ade+bde+bcde+bcf+abcf+adf+cdef+acg+cdg+cdeg+acfg+cdfg+aefg
nh=0 anf=bcd+abe+ade+bde+cde+bcde+abf+bcf+abcf+cdef+acg+cdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+acd+abe+ace+ade+bde+bcde+bcf+abcf+cdef+acg+cdg+cdeg+acfg+cdfg+aefg
nh=0 anf=acd+bcd+abe+bde+bcde+abf+abcf+cdef+acg+cdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+bcd+ace+bde+bcde+abcf+cdef+acg+cdg+cdeg+acfg+cdfg+aefg
nh=247584323 anf=acd+bce+bcde+abf+abcf+adf+bef+cdef+cdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abe+ace+ade+bde+bcde+abcf+bef+cdef+cdg+cdeg+acfg+cdfg+aefg
nh=247573689 anf=abc+acd+ade+cde+bcde+abf+abcf+bdf+cdef+cdg+cdeg+acfg+cdfg+aefg
nh=247554455 anf=abc+ace+bcde+abf+abcf+bdf+cdef+cdg+cdeg+acfg+cdfg+aefg
nh=247587531 anf=abc+acd+bcd+abe+bde+bcde+abcf+bdf+cdef+cdg+cdeg+acfg+cdfg+aefg
nh=247584966 anf=acd+abe+bce+bcde+abcf+adf+cdef+cdg+cdeg+acfg+cdfg+aefg
nh=247578291 anf=abc+bce+ade+bcde+abf+bcf+abcf+cdef+cdg+cdeg+acfg+cdfg+aefg
nh=0 anf=acd+bcd+abe+bce+bcde+bcf+abcf+cdef+cdg+cdeg+acfg+cdfg+aefg
nh=0 anf=bcd+bce+ade+bcde+abf+abcf+cdef+cdg+cdeg+acfg+cdfg+aefg
nh=247562294 anf=abc+bde+bcde+abcf+cdef+cdg+cdeg+acfg+cdfg+aefg
nh=247578370 anf=abc+abd+bcd+abe+cde+bcde+abf+bcf+abcf+adf+bef+def+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247596209 anf=abe+bce+bcde+abcf+bef+def+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247591489 anf=bcd+abe+bce+cde+bcde+abf+abcf+def+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+acd+bcd+abe+ade+bde+bcde+abf+abcf+cdf+bef+cef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+acd+bcd+abe+bce+ade+cde+bcde+abcf+bef+cef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247598706 anf=abc+abd+abe+ace+ade+bde+cde+bcde+abf+bcf+abcf+cdf+cef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
